,1,2,3,4,5,6,7,8,9,10,11,12
Amaria_IPP,0.453629032,0.435267857,0.416666667,0.409722222,0.433467742,0.447916667,0.581317204,0.688844086,0.690972222,0.688844086,0.479166667,0.460349462
Balassa,0.319892473,0.3125,0.282258065,0.272222222,0.301075269,0.311111111,0.432795699,0.432795699,0.466666667,0.432795699,0.35,0.319892473
Banéah,0.188172043,0.208333333,0.188172043,0.194444444,0.150537634,0.136111111,0.169354839,0.169354839,0.194444444,0.169354839,0.175,0.188172043
Bonkon_Diaria,0.156810036,0.143678161,0.135181065,0.139687101,0.156810036,0.212324393,0.264954888,0.394728711,0.391123883,0.394728711,0.206736909,0.194660734
Boureya,0.517473118,0.501302083,0.493951613,0.498263889,0.517473118,0.650173611,0.405745968,0.405745968,0.407118056,0.405745968,0.407118056,0.629200269
Diaoya,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Diaraguela,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Digan,0.161868424,0.145609319,0.141634871,0.146356033,0.161868424,0.209080048,0.394554284,0.556422708,0.554062127,0.556422708,0.282258065,0.212452307
Donkea,0.501792115,0.486111111,0.501792115,0.518518519,0.376344086,0.388888889,0.4390681,0.501792115,0.518518519,0.501792115,0.453703704,0.501792115
Fello,0.358422939,0.330687831,0.313620072,0.308641975,0.313620072,0.277777778,0.418160096,0.418160096,0.401234568,0.388291517,0.401234568,0.134408602
Fetore,0.121401318,0.109206989,0.106226153,0.101926523,0.113813736,0.148969534,0.280740548,0.402141866,0.399865591,0.402141866,0.203853047,0.151751648
Fomi_IPP,0.156810036,0.104166667,0.083632019,0.075617284,0.125448029,0.302469136,0.648148148,0.648148148,0.648148148,0.648148148,0.648148148,0.292712067
G-Energie_IPP,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Garafiri,0.326164875,0.305555556,0.26344086,0.233333333,0.213261649,0.207407407,0.200716846,0.238351254,0.324074074,0.363799283,0.362962963,0.363799283
Gozoguézia,0.400736758,0.405092593,0.400736758,0.396090535,0.45300677,0.612139918,0.609816806,0.609816806,0.612139918,0.609816806,0.522119342,0.540123457
GrandesChutes1,0.313620072,0.347222222,0.313620072,0.324074074,0.313620072,0.504115226,0.487853445,0.45300677,0.504115226,0.487853445,0.468106996,0.313620072
GrandesChutes2,0.313620072,0.347222222,0.313620072,0.324074074,0.313620072,0.504115226,0.487853445,0.45300677,0.504115226,0.487853445,0.468106996,0.313620072
GrandKinkon,0.249814609,0.229885057,0.19790508,0.197796935,0.19790508,0.284961686,0.188172043,0.188172043,0.187739464,0.188172043,0.187739464,0.298479792
GT_Guinea,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
HFO_NEW_Guinea,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
HYD_CAND_GUI,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Kaba,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Kaleta_IPP,0.384184588,0.355902778,0.341061828,0.336226852,0.344982079,0.396990741,0.458669355,0.584117384,0.583333333,0.584117384,0.409143519,0.235215054
Kaloum1_IPP,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Kaloum2_IPP,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Kaloum3,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Kaloum5,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Karpowership_GU,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Kéno,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Kinkon,0.313620072,0,0,0,0,0.648148148,0.627240143,0.627240143,0.648148148,0.627240143,0.648148148,0.627240143
Kipé_IPP,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Kogbedou_Franko,0.413408276,0.331439394,0.327875529,0.324074074,0.399152819,0.55976431,0.641495601,0.641495601,0.648148148,0.641495601,0.486111111,0.527451939
Koukoutamba_IPP,0.076804916,0.056689342,0.054403482,0.056216931,0.076804916,0.102513228,0.272017409,0.547235023,0.638227513,0.476830517,0.201719577,0.083205325
Kouravel_IPP,0.160294703,0.154320988,0.160294703,0.158436214,0.160294703,0.180041152,0.292712067,0.390282756,0.388888889,0.390282756,0.223251029,0.188172043
Lafou,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Morisakano,0.517473118,0.447916667,0.432795699,0.427777778,0.423387097,0.641666667,0.564516129,0.639784946,0.641666667,0.639784946,0.641666667,0.620967742
Nzébéla,0.243926722,0.192901235,0.209080048,0.216049383,0.243926722,0.324074074,0.487853445,0.662086818,0.648148148,0.662086818,0.360082305,0.313620072
OFSHORE_WIND_GUI,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Poudaldé,0.4390681,0.358796296,0.324074074,0.291666667,0.282258065,0.356481481,0.491338112,0.564516129,0.561728395,0.564516129,0.507716049,0.292712067
PV_CAND_2024_Guinea,1,1,1,1,1,1,1,1,1,1,1,1
PV_CAND_2030_Guinea,1,1,1,1,1,1,1,1,1,1,1,1
Sambangalou_GUI_IPP,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Souapiti_IPP,0.428614098,0.421296296,0.405615293,0.397530864,0.411887694,0.483950617,0.401433692,0.401433692,0.401851852,0.428614098,0.419135802,0.497610514
Storage_CAND_2027_Guinea,1,1,1,1,1,1,1,1,1,1,1,1
Storage_CAND_2030_Guinea,1,1,1,1,1,1,1,1,1,1,1,1
TeneI,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Tinkisso,0.564516129,0.347222222,0,0,0,0.648148148,0.627240143,0.627240143,0.648148148,0.627240143,0.648148148,0.627240143
Tiopo,0.64516129,0.64484127,0.64516129,0.592592593,0.573476703,0.648148148,0.609318996,0.64516129,0.648148148,0.64516129,0.648148148,0.367383513
WIND_CAND_GUI,1,1,1,1,1,1,1,1,1,1,1,1