zone,type,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
Angola,Peak,2642,2774,2915,3066,3228,3401,3586,3785,3998,4227,4471,4733,5014,5314,5637,5982,6351
Burundi,Peak,105,115,126,139,152,167,184,201,221,243,266,292,321,352,387,424,466
Cameroon,Peak,1645,1784,1934,2098,2275,2466,2674,2900,3144,3410,3697,4009,4347,4713,5111,5542,6009
CAR,Peak,18,20,23,26,29,33,38,44,50,56,64,72,81,91,102,114,127
Chad,Peak,74,81,89,98,108,119,132,146,161,177,195,214,235,257,280,306,333
Congo,Peak,522,549,578,608,640,674,709,746,785,826,869,914,962,1012,1065,1121,1180
DRC,Peak,2312,2509,2723,2955,3208,3481,3778,4055,4336,4615,4843,5073,5242,5423,5605,5786,5968
EquatorialGuinea,Peak,202,248,306,377,465,573,706,871,1073,1322,1630,2009,2475,3051,3760,4634,5710
Gabon,Peak,576,601,628,655,684,714,746,779,813,849,886,925,966,1008,1052,1099,1147
Rwanda,Peak,298,352,416,492,582,688,813,897,989,1090,1201,1322,1464,1620,1792,1981,2189
STP,Peak,39,45,53,62,73,85,99,116,136,159,186,218,255,298,348,407,476
Angola,Energy,16502,17102,17733,18397,19094,19827,20598,21408,22260,23155,24097,25086,26127,27220,28370,29579,30849
Burundi,Energy,505,567,636,714,802,900,1010,1134,1273,1429,1604,1801,2022,2270,2548,2860,3211
Cameroon,Energy,8908,9651,10456,11329,12274,13299,14409,15611,16914,18325,19855,21512,23307,25252,27360,29643,32117
CAR,Energy,123,137,154,173,196,222,252,285,322,363,408,458,512,572,637,708,785
Chad,Energy,335,367,405,448,497,553,616,685,761,842,931,1027,1130,1242,1361,1490,1628
Congo,Energy,2907,3023,3143,3269,3399,3534,3675,3805,3942,4079,4217,4355,4493,4642,4790,4939,5180
DRC,Energy,15963,16928,17952,19037,20189,21409,22704,23575,24479,25379,26225,27072,27869,28723,29577,30537,31493
EquatorialGuinea,Energy,1102,1341,1631,1985,2415,2939,3576,4352,5296,6444,7841,9542,11611,14128,17192,20920,25456
Gabon,Energy,3804,3979,4162,4353,4554,4763,4982,5152,5331,5510,5690,5869,6048,6240,6433,6625,6817
Rwanda,Energy,1641,1912,2228,2596,3025,3524,4106,4527,4990,5498,6056,6670,7377,8155,9012,9954,10991
STP,Energy,171,199,233,273,319,373,436,510,597,698,817,955,1117,1306,1528,1787,2089