gen,zone,tech,fuel,StYr,RetrYr,Capacity,Status,MinLimitShare,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,FOMperMW,VOM,ReserveCost,Capex,Life,BuildLimitperYear,DescreteCap,fuel2,HeatRate2,MinUtilization,RETech,UnitSize
Acacia_TH_ZAF,South_Africa,OCGT,HFO,1976,2026,171,1,,11.26101378,,,,,,,,0,,,0,,0,0,0,0
Agg_THICE1_ZAR,DRC,ICE,HFO,2000,2050,20.7,1,,10.41544727,,,,,,,,0,,0,0,,0,0,0,0
Agg_THICE2_ZAR,DRC,ICE,HFO,2000,2050,124.4,1,,10.41544727,,,,,,,,0,,0,0,,0,0,0,0
AggDiesel_TH_MOZ,Mozambique,ICE,HFO,2000,2050,48,1,,13.62126767,,,,,,,,0,,,0,,0,0,0,0
Aggreko_IPP_ICE_MWI,Malawi,ICE,Diesel,2000,2019,0,1,,,,,,,,,0,0,,0,0,,0,0,0,0
Aggreko_TH_MOZ,Mozambique,ICE,HFO,2000,2018,55,1,,9.990938997,,,,,,,,0,,,0,,0,0,0,0
AH_Cambambe_C1,Angola,ReservoirHydro,Water,1962,2060,195,1,,,,,,0.121826136,,,0,0,50,,0,,0,0,0,0
AH_Cambambe_C2,Angola,ReservoirHydro,Water,2016,2060,700,1,,,,,,0.121826136,,,0,0,50,0,0,,0,0,0,0
AH_Capanda,Angola,ReservoirHydro,Water,2004,2060,520,1,,,,,,0.121826136,,,0,0,50,,0,,0,0,0,0
AH_Lauca,Angola,ReservoirHydro,Water,2017,2060,2004,1,,,,,,0.225,,,0,0,50,0,0,,0,0,0,334
Ah_Lauca_ECO,Angola,ReservoirHydro,Water,2023,2060,0,1,,,,,,0.225,,,0,0,50,0,0,,0,0,0,0
AH_Matala,Angola,ReservoirHydro,Water,1959,2060,40.8,1,,,,,,0.121826136,,,0,0,50,,0,,0,0,0,0
AngolaCCGTNG_TH_AGO,Angola,CCGT,LNG,2055,2105,0,3,,,,,,,,,,1.245080501,,400,0,7,7.1,0.05,0,0
AngolaDiesel_TH_AGO,Angola,ICE,HFO,2024,2054,0,3,,10.41544727,,,,,,,,0.933810376,,0,0,,0,0.06,0,0
Anixas_TH_NAM,Namibia,ICE,HFO,2011,2061,22.5,1,,10.41544727,,,,,,,,0,,,0,,0,0,0,0
AnixasII_TH_NAM,Namibia,ICE,HFO,2024,2061,54,2,,10.41544727,,,,,,,,0.933810376,,,0,,0,0,0,0
Ankerlig(Atlantis)_TH_ZAF,South_Africa,OCGT,HFO,2007,2057,1327,1,,9.39286647,,,,,,,,0,,,0,,0,0,0,0
Arnot1_TH_ZAF,South_Africa,ST,Coal,1975,2033,1116,1,,13.3,,,,,,,,0,,,0,,0,0.05,0,372
Arnot2_TH_ZAF,South_Africa,ST,Coal,1975,2033,1116,1,,13.3,,,,,,,,0,,,0,,0,0.05,0,372
Athlone_TH_ZAF,South_Africa,ST,Coal,1962,2019,180,1,,10.10657267,,,,,,,,0,,,0,,0,0.05,0,180
Avon_TH_ZAF,South_Africa,OCGT,HFO,2015,2065,837.5,1,,13.62107811,,,,,,,,0,,,0,,0,0,0,0
Bagamoyo,Tanzania,CCGT,Gas,2028,2078,200,3,,,0.1,0.1,,,,,0,1.2,,200,0,,0,0.05,0,0
Bagasse_co-generation_BM_MWI,Malawi,ST,Biomass,2030,2060,60,3,,10,0.9,0.9,,,,10,,4.26,,60,0,,0,0,0,0
BatokaGorgeNorth_HY_ZMB,Zambia,ReservoirHydro,Water,2035,2060,1200,3,,,,,,0.278070484,,,0,1.699534884,50,400,0,,0,0,0,0
BatokaGorgeSouth_HY_ZWE,Zimbabwe,ReservoirHydro,Water,2035,2060,1200,3,,,,,,0.275342466,,,0,1.699534884,50,1200,0,,0,0,0,0
Baynes(Angola)_HY_AGO,Angola,ReservoirHydro,Water,2032,2072,430,3,,,,,,0.121826136,,,0,3.115813953,50,430,0,,0,0,0,0
Baynes(Namibia)_HY_NAM,Namibia,ReservoirHydro,Water,2032,2060,300,3,,,,,,0.175,,,0,3.115813953,50,300,0,,0,0,0,0
Beloluane_TH_MOZ,Mozambique,OCGT,Gas,2016,2066,0,1,0.2,13.62126767,,,,,,,,0,,,0,7,14.32126767,0.4,0,0
Bloemfontein_TH_ZAF,South_Africa,ST,Coal,1965,2015,103,1,,14,,,,,,,,0,,,0,,0,0.05,0,103
Boroma_HY_MOZ,Mozambique,ReservoirHydro,Water,2037,2060,0,3,,,,,,0.406440138,,,0,4.248837209,50,0,0,,0,0,0,0
BotswanaCoal_TH_BWA,Botswana,ST,Coal,2026,2076,0,3,,8.6,,,,,,,,2.466504472,,0,0,,0,0.05,0,0
BotswanaSolarCSP_REN_BWA,Botswana,CSPPlant,CSP,2027,2067,200,3,0,0,1,1,0,0.8,22000,3,0,1.915,30,200,0,,0,0,0,0
Bulawayo_TH_ZWE,Zimbabwe,ST,Coal,1999,2055,90,1,,11.373804,,,,,,,,0,,,0,,0,0.1,0,90
Busanga_HY_ZAR,DRC_South,ReservoirHydro,Water,2022,2060,240,1,,,,,,0.193435172,,,0,0,50,0,0,,0,0,0,0
CaculoCabaca_HY_AGO,Angola,ReservoirHydro,Water,2027,2067,2172,2,,,,,,0.24,,,0,4.5,50,2172,0,,0,0,0,0
Cafula(Keve)_HY_AGO,Angola,ReservoirHydro,Water,2055,2060,400,3,,,,,,0.272,,,0,5.240232558,50,400,0,,0,0,0,0
CahoraBassa_HY_MOZ,Mozambique,ReservoirHydro,Water,2000,2060,700,1,,,,,,0.4,,,0,0,50,,0,,0,0,0,0
Calengue(Catumbela)_HY_AGO,Angola,ReservoirHydro,Water,2055,2060,180,3,,,,,,0.3415,,,0,4.248837209,50,180,0,,0,0,0,0
Camden_TH_ZAF,South_Africa,ST,Coal,1967,2030,1481,1,,13.6,,,,,,,,0,,,0,,0,0.05,0,185.125
CandidateCoal_TH_ZWE,Zimbabwe,ST,Coal,2025,2075,0,3,,8.6,,,,,,,,2.466504472,,0,0,,0,0.05,0,0
CandidateHydro_HY_ZMB,Zambia,ReservoirHydro,Water,2029,2060,315,3,,,,,,0.278070484,,,0,4.248837209,50,315,0,,0,0,0,0
Cedar_Muloza,Malawi,ReservoirHydro,Water,2022,2060,3.3,1,,,,,,0.325077306,,,0,0,50,0,0,,0,0,0,0
CF_Bafia_Farta,Angola,PV,Solar,2022,2073,75.5,1,0,0,1,1,0,0,15000,0,0,0,25,0,0,,0,0,1,0
CF_Biopio,Angola,PV,Solar,2022,2073,144.9,1,0,0,1,1,0,0,15000,0,0,0,25,0,0,,0,0,1,0
Chasombo_HY_MWI,Malawi,ReservoirHydro,Water,2055,2060,40.4,3,,,,,,0.325077306,,,,3.445,,40.4,0,,0,0,0,0
ChishimbaFalls_HY_ZMB,Zambia,ReservoirHydro,Water,2004,2060,6,1,,,,,,0.107375,,,0,0,50,,0,,0,0,0,0
ChishimbaFallsExt_HY_ZMB,Zambia,ReservoirHydro,Water,2026,2060,9,2,,,,,,0.107375,,,0,4.251,50,,0,,0,0,0,0
Chisumbanje_BIO_ZWE,Zimbabwe,ST,Biomass,2024,2074,4,3,,10,0.33,0.33,,0.8,48000,,,2.723613596,,4,0,,0,0,0,4
Chitipa_WIND_MWI,Malawi,OnshoreWind,Wind,2027,2057,0,3,0,0,1,1,0,0,28000,0,0,1.6,30,0,0,,0,0,1,0
Chiweta_GT_MWI,Malawi,ST,Geothermal,2055,2060,12,3,0,0,1,1,0,0.2,15000,2.538071066,0,9.95,30,12,0,,0,0,0,0
Chizuma_HY_MWI,Malawi,ReservoirHydro,Water,2055,2060,40.4,3,,,,,,0.325077306,,,,3.445,,40.4,0,,0,0,0,0
CIF_TH_AGO,Angola,OCGT,Gas,2000,2019,50,1,0.2,13.1746563,,,,,,,,0,,,0,7,13.8746563,0.25,0,0
Committed_PV1-1_BWA,Botswana,PV,Solar,2026,2060,235,3,0,0,1,1,0,0,15000,0,0,0.8,25,58.75,0,,0,0,1,0
Committed_PV1-2_BWA,Botswana,PV,Solar,2030,2060,300,3,0,0,1,1,0,0,15000,0,0,0.8,25,75,0,,0,0,1,0
Committed_PV1-3_BWA,Botswana,PV,Solar,2035,2060,0,3,0,0,1,1,0,0,15000,0,0,0.8,25,0,0,,0,0,1,0
Committed_Wind1-1_BWA,Botswana,OnshoreWind,Wind,2027,2057,0,2,0,0,1,1,0,0,28000,0,0,1.915,30,0,0,,0,0,1,0
Committed_Wind1-2_BWA,Botswana,OnshoreWind,Wind,2025,2055,0,2,0,0,1,1,0,0,28000,0,0,1.915,30,0,0,,0,0,1,0
Committed_Wind1-3_BWA,Botswana,OnshoreWind,Wind,2028,2058,0,2,0,0,1,1,0,0,28000,0,0,1.915,30,50,0,,0,0,1,0
Committed_Wind1-4_BWA,Botswana,OnshoreWind,Wind,2031,2061,0,2,0,0,1,1,0,0,28000,0,0,1.915,30,0,0,,0,0,1,0
Committed_Wind1-5_BWA,Botswana,OnshoreWind,Wind,2035,2065,0,2,0,0,1,1,0,0,28000,0,0,1.915,30,50,0,,0,0,1,0
Committed1_PV_AGO,Angola,PV,Solar,2024,2060,171.1,2,0,0,1,1,0,0,15000,0,0,0.8,25,400,0,,0,0,1,0
Committed2_PV_AGO,Angola,PV,Solar,2025,2060,43.7,2,0,0,1,1,0,0,15000,0,0,0.8,25,400,0,,0,0,1,0
Committed3_PV_AGO,Angola,PV,Solar,2026,2060,658,2,0,0,1,1,0,0,15000,0,0,0.8,25,400,0,,0,0,1,0
CommittedCSP1_NAM,Namibia,CSPPlant,CSP,2024,2050,0,2,0,0,1,1,0,0.8,22000,3,0,1.85,30,0,0,,0,0,0,0
CommittedSolar_REN_ZAR,DRC,PV,Solar,2025,2060,200,2,0,0,1,1,0,0,15000,0,0,0.8,25,200,0,,0,0,1,0
CommittedWind1-5_NAM,Namibia,OnshoreWind,Wind,2036,2066,0,2,0,0,1,1,0,0,28000,0,0,1.75,30,0,0,,0,0,1,0
CT_Biocom,Angola,ST,Biomass,2009,2051,20,1,,10.8998955,,,,0.8,48000,,,0,,,0,,0,0,0,20
CT_Malembo,Angola,OCGT,Gas,2012,2055,105,1,0.2,11.49838981,,,,,,,,0,,,0,7,12.19838981,0.25,0,0
CT_OffGrid_Diesel,Angola,ICE,Diesel,2013,2063,371.55,1,0.06,10.42,1,1,0,0.4,8000,6.4,0,0,30,0,0,,0,0,0,0
CT_OnGrid_Diesel,Angola,ICE,Diesel,2000,2050,343.46,1,0.06,13.62,1,1,0,0.4,8000,6.4,0,0,30,0,0,,0,0,0,0
CT_PV_Diesel_Hybrid,Angola,PV,Solar,2017,2051,30,1,0,0,1,1,0,0,15000,0,0,0,30,,0,12,10.42,0,1,30
CT_Soyo,Angola,CCGT,Gas,2017,2073,500,1,,9,,,,,,,0,0,,0,0,12,9.7,0.05,0,0
CTMJICA1_TH_MOZ,Mozambique,OCGT,Gas,2018,2068,106,1,0.2,10.425987,,,,,,,,0,,0,0,7,11.125987,0.5,0,0
CTMJICA2_TH_MOZ,Mozambique,OCGT,Gas,2026,2076,29,3,0.2,,,,,,,,,1.016815742,,29,0,7,9.7,0.05,0,0
Cutato1-3_HY_AGO,Angola,ReservoirHydro,Water,2055,2060,300,3,,,,,,0.121826136,,,0,4.248837209,50,300,0,,0,0,0,0
Dedisa_TH_ZAF,South_Africa,OCGT,HFO,2015,2065,335,1,,13.62107811,,,,,,,,0,,,0,,0,0,0,0
Dedza_WIND_MWI,Malawi,OnshoreWind,Wind,2027,2057,0,3,0,0,1,1,0,0,28000,0,0,1.6,30,0,0,,0,0,1,0
DemaEmergency_TH_ZWE,Zimbabwe,ICE,HFO,2017,2020,200,1,,11.373804,,,,,,,,0,,,0,,0,0,0,0
Devil'sGorgeNorth_HY_ZMB,Zambia,ReservoirHydro,Water,2032,2060,600,3,,,,,,0.278070484,,,0,4.248837209,50,600,0,,0,0,0,0
Devil'sGorgeSouth_HY_ZWE,Zimbabwe,ReservoirHydro,Water,2032,2070,600,3,,,,,,0.275342466,,,0,4.248837209,50,600,0,,0,0,0,0
Diaz_Wind_NAM,Namibia,OnshoreWind,Wind,2027,2057,50,2,0,0,1,1,0,0,28000,0,0,1.8,30,44,0,,0,0,1,0
DrakensbergPH_HY_ZAF,South_Africa,Storage,Water,1985,2060,1000,1,,0,1,1,0,0.8,46500,0.55,0,0,50,,0,,0,0,0,0
Duvha_TH_ZAF,South_Africa,ST,Coal,1980,2033,2875,1,,12.3,,,,,,,,0,,,0,,0,0.05,0,479.1666667
Duynefontein_NU_ZAF,South_Africa,ST,Uranium,2032,2072,2500,3,0.7,9.2886066,0.1,0.1,0,0,100000,2.3,0,6.295957066,50,2500,0,,0,0.6,0,0
EAPower&Mapembasi_HY_TZA,Tanzania,ReservoirHydro,Water,2016,2060,0,1,,,,,,0.215276497,,,0,0,50,,0,,0,0,0,0
Edwaleni1_HY_SWZ,Eswatini,ReservoirHydro,Water,2000,2060,10,1,,,,,,0.152,,,0,0,50,,0,,0,0,0,0
Edwaleni2_HY_SWZ,Eswatini,ReservoirHydro,Water,2000,2060,5,1,,,,,,0.152,,,0,0,50,,0,,0,0,0,0
EdwaleniThermal_TH_SWZ,Eswatini,ICE,HFO,2000,2050,9,1,,11.73397446,,,,,,,,0,,,0,,0,0,0,0
EEC_Solar_PV,Eswatini,PV,Solar,2021,2060,10,1,0,0,1,1,0,0,15000,0,0,0,25,0,0,,0,0,1,0
Ethanol_project_BM_MWI,Malawi,ST,Biomass,2032,2060,28,3,,10,,,,,,10,,7.2,,28,0,,0,0,0,0
Existing _PV_NAM,Namibia,PV,Solar,2015,2060,127,1,0,0,1,1,0,0,15000,0,0,0,25,0,0,,0,0,1,0
Existing _PV_ZIM,Zimbabwe,PV,Solar,2022,2060,38,1,0,0,1,1,0,0,15000,0,0,0,25,,0,,0,0,1,0
Existing_AusWind_NAM,Namibia,OnshoreWind,Wind,2020,2055,5,1,0,0,1,1,0,0,28000,0,0,0,30,0,0,,0,0,1,0
Existing_HY_MOZ,Mozambique,ReservoirHydro,Water,2000,2060,117,1,,,,,,0.406440138,,,0,0,50,,0,,0,0,0,0
ExistingCSP(CSP)_REN_ZAF,South_Africa,CSPPlant,CSP,2005,2045,300,1,0,0,1,1,0,0.8,22000,3,0,0,30,,0,,0,0,0,0
ExistingHydro1985_HY_ZAF,South_Africa,ReservoirHydro,Water,1985,2060,44.1,1,,,,,,0.185,,,0,0,50,,0,,0,0,0,0
ExistingHydro2015_HY_ZAF,South_Africa,ReservoirHydro,Water,2015,2060,19,1,,,,,,0.185,,,0,0,50,,0,,0,0,0,0
ExistingSmallHydro2000_HY_AGO,Angola,ReservoirHydro,Water,2000,2060,16,1,,,,,,0.121826136,,,0,0,50,,0,,0,0,0,0
ExistingSmallHydro2012_HY_AGO,Angola,ReservoirHydro,Water,2012,2060,135.4,1,,,,,,0.121826136,,,0,0,50,,0,,0,0,0,0
ExistingSolarPV(PV)_REN_ZAF,South_Africa,PV,Solar,2017,2060,2290,1,0,0,1,1,0,0,15000,0,0,0,25,,0,,0,0,1,0
ExistingWind_REN_ZAF,South_Africa,OnshoreWind,Wind,2015,2045,3442,1,0,0,1,1,0,0,22000,0,0,0,30,,0,,0,0,1,0
Ezulwini_HY_SWZ,Eswatini,ReservoirHydro,Water,2000,2060,20,1,,,,,,0.1,,,0,0,50,,0,,0,0,0,0
Francistown_TH_BWA,Botswana,ICE,HFO,2000,2026,73,1,,10.41544727,,,,,,,,0,,,0,,0,0,0,0
Gairezi_HY_ZWE,Zimbabwe,ReservoirHydro,Water,2020,2060,30,1,,,,,,0.275342466,,,0,0,50,0,0,,0,0,0,0
Gariep_HY_ZAF,South_Africa,ReservoirHydro,Water,1971,2060,360,1,,,,,,0.185,,,0,0,50,,0,,0,0,0,0
GasTurbine_TH_AGO,Angola,OCGT,Gas,2055,2105,2500,3,0.2,,,,,,,,,1.016815742,,500,0,7,9.7,0.05,0,0
GasTurbine_TH_LSO,Lesotho,OCGT,LNG,2027,2077,500,3,,,,,,,,,,1.016815742,,500,0,7,9.7,0.05,0,0
GasTurbine_TH_SWL,Eswatini,OCGT,LNG,2027,2077,500,3,,,,,,,,,,1.016815742,,400,0,7,9.7,0.05,0,0
GecaminesCoal(100)_TH_AGO,Lesotho,ST,Coal,2025,2070,0,3,,8.6,,,,,,,,2.466504472,,0,0,,0,0.05,0,0
GecaminesCoal(500)_TH_AGO,Angola,ST,Coal,2025,2075,0,3,,8.6,,,,,,,,2.466504472,,0,0,,0,0.1,0,0
GenericDieselCan_BWA,Botswana,ICE,HFO,2024,2054,500,3,,10.42,,,,,,,,0.933810376,,500,0,,0,0.06,0,0
GenericDieselCan_DRC,DRC,ICE,HFO,2024,2054,500,3,,10.42,,,,,,,,0.933810376,,500,0,,0,0.06,0,0
GenericDieselCan_LSO,Lesotho,ICE,HFO,2024,2054,200,3,,10.42,,,,,,,,0.933810376,,200,0,,0,0.06,0,0
GenericDieselCan_SWL,Eswatini,ICE,HFO,2024,2054,200,3,,10.42,,,,,,,,0.933810376,,200,0,,0,0.06,0,0
GenericDieselCan_TZA,Tanzania,ICE,HFO,2024,2054,0,3,,10.42,,,,,,,,0.933810376,,0,0,,0,0.06,0,0
GenericDieselCan_ZAF,South_Africa,ICE,HFO,2024,2054,2000,3,,10.42,,,,,,,,0.933810376,,2000,0,,0,0.06,0,0
GenericDieselCan_ZMB,Zambia,ICE,HFO,2026,2053,200,3,,10.42,,,,,,,,0.830053667,,100,0,,0,0.06,0,0
Genga_HY_AGO,Angola,ReservoirHydro,Water,2055,2060,900,3,,,,,,0.121826136,,,0,4.248837209,50,900,0,,0,0,0,0
GenTanzaniaCoastalCoal_TH_TZA,Tanzania,ST,Coal,2025,2075,0,3,,9.73,,,,,,,,2.186,,0,0,,0,0.05,0,0
Golomoti_BESS,Malawi,Storage,Battery,2022,2060,5,1,,,,,,,,,,0,,0,0,,0,0,0,0
Golomoti_PV_MWI,Malawi,PV,Solar,2022,2060,20,1,0,0,1,1,0,0,15000,0,0,0,25,0,0,,0,0,1,0
Gourikwa_TH_ZAF,South_Africa,OCGT,HFO,2007,2057,740,1,,9.39286647,,,,,,,,0,,,0,,0,0,0,0
Grootvlei_TH_ZAF,South_Africa,ST,Coal,1969,2030,570,1,,13.1,,,,,,,,0,,,0,,0,0.05,0,186.6666667
Hale,Tanzania,ReservoirHydro,Water,2025,2075,21,2,,,,,,0.142502136,,0.003,0,1,50,,0,,0,0,0,0
Hamilton_Falls_HY_MWI,Malawi,ReservoirHydro,Water,2055,2060,87,3,,,,,,0.325077306,,,0,3.536,50,87,0,,0,0,0,0
Harare1_TH_ZWE,Zimbabwe,ST,Coal,2000,2055,32,1,,11.373804,,,,,,,,0,,,0,,0,0.1,0,32
Harare2_TH_ZWE,Zimbabwe,ST,Coal,1970,2018,18,1,,11.373804,,,,,,,,0,,,0,,0,0.1,0,18
Harare3_TH_ZWE,Zimbabwe,ST,Coal,2000,2055,30,1,,11.373804,,,,,,,,0,,,0,,0,0.1,0,30
Hendrina_TH_ZAF,South_Africa,ST,Coal,1976,2030,1011,1,,13.8,,,,,,,,0,,,0,,0,0.05,0,163.8
Hwange3Extension_TH_ZWE,Zimbabwe,ST,Coal,2023,2073,600,1,,9.22225941,,,,,,,,0,,0,0,,0,0.05,0,300
HwangeI_TH_ZWE,Zimbabwe,ST,Coal,1987,2037,347,1,,11.373804,,,,,,,,0,,,0,,0,0.1,0,347
HwangeII_TH_ZWE,Zimbabwe,ST,Coal,2020,2070,320,1,,11.373804,,,,,,,,0,,,0,,0,0.1,0,320
IndolaHFO_TH_ZMB,Zambia,ICE,HFO,2020,2055,110,1,,9.748974861,,,,,,,,0,,0,0,,0,0,0,0
Inga1_HY_ZAR,DRC,ReservoirHydro,Water,1974,2060,351,1,,,,,,0.385,,,0,0,50,,0,,0,0,0,0
Inga2_HY_ZAR,DRC,ReservoirHydro,Water,1982,2060,1424,1,,,,,,0.435,,,0,0,50,,0,,0,0,0,0
Inga3BC_ext_HY_ZAR,DRC,ReservoirHydro,Water,2035,2085,2800,2,,,,,,0.45,,,0,2.805581395,50,1400,0,,0,0,0,0
Inga3BC_HY_ZAR,DRC,ReservoirHydro,Water,2032,2082,2000,2,,,,,,0.45,,,0,2.797488372,50,1000,0,,0,0,0,0
Ingula_HY_ZAF,South_Africa,Storage,Water,2017,2060,1324,1,,0,1,1,0,0.8,46500,0.55,0,0,50,0,0,,0,0,0,0
IPP_Luderitz_Wind_NAM,Namibia,OnshoreWind,Wind,2027,2057,50,2,0,0,1,1,0,0,28000,0,0,1.75,30,50,0,,0,0,1,0
Iringa_Ibosa,Tanzania,ReservoirHydro,Water,2028,2060,36,3,,,,,,0.295,,0.5,0,4.4434,50,36,0,,0,0,0,0
Iringa_Nginayo,Tanzania,ReservoirHydro,Water,2030,2060,52,3,,,,,,0.29,,0.5,0,3.1369,50,52,0,,0,0,0,0
ItheziThezi_HY_ZMB,Zambia,ReservoirHydro,Water,2016,2060,120,1,,,,,,0.290144597,,,0,0,50,,0,,0,0,0,0
JambaMina_HY_AGO,Angola,ReservoirHydro,Water,2055,2060,180,3,,,,,,0.121826136,,,0,4.248837209,50,180,0,,0,0,0,0
JambaOma_HY_AGO,Angola,ReservoirHydro,Water,2055,2060,75,3,,,,,,0.121826136,,,0,4.248837209,50,75,0,,0,0,0,0
JNHPP_1,Tanzania,ReservoirHydro,Water,2024,2060,940,2,,,,,,0.25,1640,0.5,,1.348,,940,0,,0,0,0,0
JNHPP_2,Tanzania,ReservoirHydro,Water,2025,2060,1175,2,,,,,,0.25,1640,0.5,,1.348,,1175,0,,0,0,0,0
JohannesburgLandfillGas_TH_ZAF,South_Africa,OCGT,Gas,2000,2050,18,1,0.2,10,0.33,0.33,,,,,,0,,,0,7,10.7,0.2,0,18
KafueGorge_HY_ZMB,Zambia,ReservoirHydro,Water,1977,2060,990,1,,,,,,0.345925003,,,0,0,50,,0,,0,0,0,0
KafueGorgeLower_HY_ZMB,Zambia,ReservoirHydro,Water,2021,2060,750,1,,,,,,0.345925003,,,0,0,50,0,0,,0,0,0,0
Kakono,Tanzania,ReservoirHydro,Water,2030,2060,80,3,,,,,,0.375,,,0,4.1899,50,80,0,,0,0,0,0
KalungwishiI_HY_ZMB,Zambia,ReservoirHydro,Water,2030,2060,101,3,,,,,,0.278070484,,,0,4.248837209,50,101,0,,0,0,0,0
Kam'mwamba_C_MWI,Malawi,ST,Coal,2055,2060,0,3,,9.853126851,,,,,,,,2.84,,0,0,,0,0.05,0,0
Kanengo,Malawi,ICE,Diesel,2000,2060,15.5,1,,,,,,,,,0,0,,0,0,,0,0,0,0
Kapichira_HY_MWI,Malawi,ReservoirHydro,Water,2013,2060,64.8,1,,,,,,0.325,,,,0,,0,0,,0,0,0,0
Kapichira_parts_HY_MWI,Malawi,ReservoirHydro,Water,2013,2060,64.8,1,,,,,,0.325,,,,0,,0,0,,0,0,0,0
KaribaNB_HY_ZMB,Zambia,ReservoirHydro,Water,1976,2060,720,1,,,,,,0.252621343,,,0,0,50,,0,,0,0,0,0
KaribaNBE_HY_ZMB,Zambia,ReservoirHydro,Water,2015,2060,360,1,,,,,,0.252621343,,,0,0,50,,0,,0,0,0,0
KaribaSouth1_HY_ZWE,Zimbabwe,ReservoirHydro,Water,1962,2060,750,1,,,,,,0.275342466,,,0,0,50,,0,,0,0,0,0
KaribaSouthExtension_HY_ZWE,Zimbabwe,ReservoirHydro,Water,2017,2060,300,1,,,,,,0.275342466,,,0,0,50,0,0,,0,0,0,0
Karpower_TH_MOZ,Mozambique,ICE,HFO,2000,2050,47,1,,13.62126767,,,,,,,,0,,,0,,0,0,0,0
Kasitu_GT_MWI,Malawi,ST,Geothermal,2055,2060,4.9,3,0,0,1,1,0,0.2,15000,2.538071066,0,9.95,30,4.9,0,,0,0,0,0
