pSettingsHeader,value
CO2backstop,300.0
CostSurplus,5.0
DR,0.06
EPM_FILL_HYDRO_AVAILABILITY,1.0
EPM_FILL_HYDRO_CAPEX,1.0
EPM_FILL_ROR_FROM_AVAILABILITY,1.0
H2UnservedCost,3000.0
InitialSOCforBattery,0.5
ReserveVoLL,60000.0
SpinReserveVoLL,60.0
VoLL,3500.0
WACC,0.06
fApplyCountrySpinReserveConstraint,1.0
fApplyPlanningReserveConstraint,1.0
fCountIntercoForReserves,1.0
fEnableCapacityExpansion,1.0
fEnableExternalExchange,1.0
fEnableStorage,1.0
fUseSimplifiedDemand,1.0
sMaxHourlyExportExternalShare,1.0
sMaxHourlyImportExternalShare,1.0
sMinRenewableSharePct,0.08
sRenewableTargetYear,2035.0
sReserveMarginPct,0.1
sVREForecastErrorPct,0.15
